category,word,pos,frequency
政治,發言人,Na,2
政治,原籍,Na,2
政治,小姐,Na,2
政治,文件,Na,2
政治,資通,Nb,1
政治,電軍,Na,1
政治,個資,Na,1
政治,圖片,Na,1
政治,軍情,Na,1
政治,主官,Na,1
政治,個資被,Na,1
政治,陳冠廷,Nb,1
政治,方式,Na,1
政治,情報,Na,1
政治,專家,Na,1
政治,報導,VE,1
政治,素材,Na,1
政治,難處,Na,1
政治,威權主義,Na,1
政治,飛彈,Na,1
政治,指揮部,Nc,1
政治,計畫處長,Na,1
政治,軍官,Na,1
政治,行程,Na,1
政治,訪談,Na,1
政治,新聞,Na,1
政治,環境,Na,1
政治,警巡,Na,1
政治,國防部單日偵獲,Nc,1
政治,空中,Nc,1
政治,自衛隊,Na,1
政治,機擾日,Na,1
政治,次數,Na,1
政治,反應,Na,1
政治,台海,Nc,1
政治,衝突,Na,1
政治,灰色,Na,1
政治,地帶,Nc,1
政治,軍隊,Na,1
政治,員警,Na,1
政治,前線,Nc,1
政治,民間,Nc,1
政治,秩序,Na,1
政治,交通,Na,1
政治,知情,Na,1
政治,說法,Na,1
政治,便利,Nc,1
政治,物資,Na,1
政治,公告,Na,1
政治,訊息,Na,1
政治,疫情,Na,1
政治,口罩,Na,1
政治,社區,Nc,1
政治,產業界,Nc,1
政治,民團,Na,1
政治,顧問,Na,1
政治,狀態或,Na,1
政治,天災,Na,1
政治,能力,Na,1
政治,台南,Nc,1
政治,男子,Na,1
政治,帽子,Na,1
政治,諜案,Na,1
政治,事證,Na,1
政治,國安會,Nc,1
政治,秘書長,Na,1
政治,外交部長,Na,1
政治,情治,Na,1
政治,禁見,Na,1
政治,案情,Na,1
政治,風波,Na,1
政治,局長,Na,1
政治,外交部網站,Nc,1
政治,樣子,Na,1
政治,網站,Nc,1
政治,方面,Na,1
政治,共諜,Da,1
政治,員工,Na,1
政治,妻子,Na,1
政治,社群平台,Na,1
政治,八德路,Nc,1
政治,餐店,Nc,1
政治,家屬,Na,1
政治,定宇,Nb,1
政治,漏網之魚可以,Na,1
政治,副發言人,Na,1
政治,陳怡君,Nb,1
政治,政風處,Nc,1
政治,辦公室,Nc,1
政治,統戰,Na,1
政治,行為,Na,1
政治,業界,Nc,1
政治,台中,Nc,1
政治,機械器,Na,1
政治,第一線,Nc,1
政治,聲音,Na,1
政治,對策,Na,1
政治,理事長莊大立,Na,1
政治,韓國,Nc,1
政治,歐盟,Nb,1
政治,建言,Na,1
政治,金流放寬,Na,1
政治,資源,Na,1
政治,流程,Na,1
政治,內需,Na,1
政治,預警,Na,1
政治,風險,Na,1
政治,人才,Na,1
政治,暫緩期,VH,1
政治,事宜,Na,1
政治,專案,Na,1
政治,人選,Na,1
政治,協定,Na,1
政治,焦點,Na,1
政治,傅崐,Nb,1
政治,張忠謀,Nb,1
政治,機會,Na,1
政治,黃國昌,Nb,1
政治,位置,Na,1
政治,藍營,Nb,1
政治,旅客,Na,1
政治,補助,VD,1
政治,規模,Na,1
政治,訴求,Na,1
政治,人民,Na,1
政治,發點,Na,1
政治,標準,Na,1
政治,變局,Na,1
政治,美關係,Nc,1
政治,美國川普政府,Nc,1
政治,台協會,Nc,1
政治,收穫,Na,1
政治,對話,Na,1
政治,橄欖枝,Na,1
政治,中心,Nc,1
政治,座談,Na,1
政治,財政部,Nc,1
政治,腳步,Na,1
政治,參議院,Nc,1
政治,夥伴,Na,1
政治,報復性,Na,1
政治,手段,Na,1
政治,範圍,Na,1
政治,半導體,Na,1
政治,晶片,Na,1
政治,籌碼,Na,1
政治,圓辦公室,Na,1
政治,台積電,Nb,1
政治,發布會,Na,1
政治,希望,VK,1
政治,國際,Nc,1
政治,記者,Na,1
政治,方子齊,Nb,1
政治,數字,Na,1
政治,川普說,Nb,1
政治,看法,Na,1
政治,五角大廈,Nc,1
政治,印太,Nc,1
政治,事務,Na,1
政治,約翰,Nb,1
政治,預算到,Na,1
政治,目標,Na,1
政治,帳面,Na,1
政治,民防,Na,1
政治,規劃,Na,1
政治,軍費,Na,1
政治,戰略,Na,1
政治,眼前,Nc,1
政治,課題,Na,1
政治,台北,Nc,1
政治,座談會,Na,1
政治,茶農,Na,1
政治,團體,Na,1
政治,出口國,Nc,1
政治,產值,Na,1
政治,外銷值3成,Na,1
政治,出口商,Na,1
政治,台灣區,Nc,1
政治,茶輸出業,Na,1
政治,同業,Na,1
政治,理事長,Na,1
政治,吳立文,Nb,1
政治,訂單,Na,1
政治,可能,Na,1
政治,影響,VC,1
政治,台北場,Nc,1
政治,對手國,Na,1
政治,荷蘭,Nc,1
政治,次長,Na,1
政治,胡忠一,Nb,1
政治,漁獲,Na,1
政治,情勢,Na,1
政治,國都,Nc,1
政治,漁業,Na,1
政治, 宜蘭,Nb,1
政治,食品,Na,1
政治,董事,Na,1
政治,林義桓,Nb,1
政治,農產品,Na,1
政治,農產,Na,1
政治,逢甲,Nb,1
政治,國貿系,Nc,1
政治,教授,Na,1
政治,楊明憲,Nb,1
政治,金融,Na,1
政治,競爭力,Na,1
政治,農漁民,Na,1
政治,衝擊,Na,1
政治,院議場中央,Nc,1
政治,紅色,Na,1
政治,叉叉的,Na,1
政治,放大,Na,1
政治,公投案,Na,1
政治,規定,Na,1
政治,院會,Nc,1
政治,主席台,Na,1
政治,文攻,Nc,1
政治,立法院長,Na,1
政治,韓國瑜,Nb,1
政治,藍白,VH,1
政治,紀律委員會,Na,1
政治,人數,Na,1
政治,優勢,Na,1
政治,條例,Na,1
政治,所得,Na,1
政治,公務人員,Na,1
政治,幹事長,Na,1
政治,辦法,Na,1
政治,議案,Na,1
政治,立委吳宗憲則,Na,1
政治,天災人禍,Na,1
政治,人們,Na,1
政治,生命,Na,1
政治,國人,Na,1
政治,敬意,Na,1
政治,黨團副總召,Na,1
政治,張啓楷,Nb,1
政治,尊嚴,Na,1
政治,立院,Nc,1
政治,大戰,Na,1
政治,總召,Na,1
政治,柯建銘,Nb,1
政治,榮泰,Nb,1
政治,任內,Na,1
政治,作為,Na,1
政治,憲法,Na,1
政治,歉意,Na,1
政治,北美司,Nc,1
政治,簡報,Na,1
政治,全名,Na,1
政治,國安局長,Na,1
政治,幕僚,Na,1
政治,黨工,Na,1
政治,國會,Nc,1
政治,公務員,Na,1
政治,法政處,Nc,1
政治,副處長,Na,1
政治,董玉芸,Nb,1
政治,兩岸,Nc,1
政治,人民關,Na,1
政治,統計,Na,1
政治,軍人,Na,1
政治,指標性,Na,1
政治,夫妻檔共諜案,Na,1
政治,法院,Nc,1
政治,高雄,Nc,1
政治,分院,Nc,1
政治,情工,Na,1
政治,機密,Na,1
政治,飛官,Na,1
政治,孫男,Nb,1
政治,劉女,Nb,1
政治,李慧芝,Nb,1
政治,院長,Na,1
政治,部會,Na,1
政治,決策,Na,1
政治,各界,Na,1
政治,意見,Na,1
政治,規範,Na,1
政治,朝野,Na,1
政治,黨派,Na,1
政治,威脅,Na,1
政治,內政部,Nc,1
政治,台定居陸配補件,Nc,1
政治,證明,Na,1
政治,定居證,Na,1
政治,陸配張,Nb,1
政治, 陸配,Nb,1
政治,移民,Na,1
政治,事務組,Nc,1
政治,李明芳,Nb,1
政治,中華民國,Nc,1
政治,陸籍,Na,1
政治,身分,Na,1
政治,實質,Na,1
政治,權益,Na,1
政治,困難,Na,1
政治,官網,Na,1
政治,專區,Nc,1
政治,信箱,Na,1
政治,電話,Na,1
政治,國民,Na,1
政治,記者會,Na,1
政治,執政黨,Na,1
政治,行政手,Na,1
政治,族群,Na,1
政治,梁文傑,Nb,1
政治,法律,Na,1
政治,根據,Na,1
政治,通知書,Na,1
政治,方案,Na,1
政治,陸恐,Nc,1
政治,人身,Na,1
政治,疑慮,Na,1
政治,主管,Na,1
政治,內容,Na,1
政治,除戶,Na,1
政經,台灣,Nc,29
政經,中國,Nc,18
政經,美國,Nc,14
政經,人民,Na,10
政經,共軍,Na,10
政經,立委,Na,10
政經,軍事,Na,10
政經,助理,Na,8
政經,中共,Nb,8
政經,中華民國,Nc,7
政經,台海,Nc,7
